OrderNum,OrderDate,OrderType,CustomerType,CustName,CustState,ProdCategory,ProdNumber,ProdName,Quantity, Price , Discount , Order Total 
1100934,9/01/2017,Wholesale,Business,Gusikowski Group,North Carolina,Blueprints,BP102,Bsquare Robot Blueprint,10,$8.99,$1.80,$88.10
1100935,9/01/2017,Retail,Individual,Spencer Educators,Delaware,Drone Kits,DK204,BYOD-300,2,$89.00,0,$178.00
1100936,9/01/2017,Wholesale,Business,Schinner Inc.,Florida,Training Videos,TV801,Aerial Security,10,$36.99,$7.40,$362.50
1100937,9/01/2017,Retail,Individual,Saxon Laviss,Virginia,Robot Kits,RK602,BYOR-1000,1,$189.00,0,$189.00
1100938,9/01/2017,Retail,Business,Wilderman Technologies,Texas,eBooks,EB502,Building Your First Robot,4,$24.95,0,$99.80
1100939,9/02/2017,Wholesale,Business,Turcotte Corp,New York,Drones,DS302,DC-304 Drone,79,$395.00,$79.00,"$31,126.00"
1100940,9/02/2017,Retail,Individual,Kovacek Bernhard,Texas,Training Videos,TV803,Cloud Computing,1,$29.99,0,$29.99
1100941,9/02/2017,Retail,Individual,Antonina Noton,Missouri,Drones,DS306,DX-145 Drone,2,$250.00,0,$500.00
1100942,9/02/2017,Retail,Individual,Frederik Pantecost,Louisiana,eBooks,EB507,Drone Building Essentials,1,$13.99,0,$13.99
1100943,9/03/2017,Wholesale,Business,Hettinger and Sons,West Virginia,Blueprints,BP104,Cat Robot Blueprint,6,$4.99,$1.00,$28.94
1100944,9/03/2017,Retail,Individual,Phylis Barrabeale,Texas,Training Videos,TV812,Understanding Raspberry PI,1,$28.99,0,$28.99
1100945,9/03/2017,Wholesale,Business,Marvin Inc.,Kansas,Training Videos,TV802,AI for Educators,5,$49.95,$9.99,$239.76
1100946,9/03/2017,Wholesale,Business,Jacobi LLC,Arizona,eBooks,EB509,GPS Drones,7,$19.99,$4.00,$135.93
1100947,9/03/2017,Retail,Individual,Elton Sexon,Colorado,Training Videos,TV811,Understanding Drone Regulations,1,$27.50,0,$27.50
1100948,9/03/2017,Retail,Individual,Ewan Ladd,Ohio,Training Videos,TV810,Understanding Automation,1,$44.95,0,$44.95
1100949,9/03/2017,Retail,Individual,Justine Trengrouse,Florida,eBooks,EB507,Drone Building Essentials,1,$13.99,0,$13.99
1100950,9/03/2017,Retail,Individual,Cristian Iston,New York,Robot Kits,RK603,BYOR-1500,1,$189.00,0,$189.00
1100951,9/03/2017,Wholesale,Business,Treutel Group,New York,Drone Kits,DK209,BYOD-550,27,$179.00,$35.80,"$4,797.20"
1100952,9/03/2017,Wholesale,Business,Oberbrunner Inc.,Alabama,eBooks,EB521,Understanding Artificial Intelligence,5,$19.50,$3.90,$93.60
1100953,9/04/2017,Wholesale,Business,Clever Industries,Utah,Drone Kits,DK209,BYOD-550,5,$179.00,$35.80,$859.20
1100954,9/04/2017,Wholesale,Business,Nikolaus LLC,Virginia,Blueprints,BP106,Hexacopter Drone Blueprint,7,$8.99,$1.80,$61.13
1100955,9/04/2017,Wholesale,Business,Wyman Institute,Georgia,Blueprints,BP108,Panda Robot Blueprint,5,$7.99,$1.60,$38.35
1100956,9/04/2017,Retail,Individual,Iseabal Vevers,Maryland,Training Videos,TV811,Understanding Drone Regulations,1,$27.50,0,$27.50
1100957,9/04/2017,Retail,Individual,Morgan Kassman,South Carolina,Robots,RS707,RXW-9807 Robot,1,$599.00,0,$599.00
