card_number,customer_name,card_tier,transaction_count,total_spent,avg_transaction
4532-****-1004,Michael Rodriguez,Platinum,6,18545.8,3090.966666
4532-****-1002,James Chen,Platinum,6,10551.8,1758.633333
4532-****-1009,Isabella Martinez,Platinum,4,8000.7,2000.175
4532-****-1003,Emma Thompson,Platinum,6,7015.3,1169.216666
4532-****-1001,Sarah Mitchell,Platinum,7,6906,986.571428
4532-****-1005,Olivia Zhang,Platinum,5,6073.3,1214.66
4532-****-1007,Sophie Williams,Platinum,4,5769.5,1442.375
4532-****-1006,Daniel Kim,Platinum,4,3945.5,986.375
4532-****-1008,Alexander Brown,Platinum,4,3536.4,884.1
4532-****-2009,Christopher Harris,Gold,4,2244.5,561.125
