customer_name,state,kwh_used,state_avg,state_max
Sarah Mitchell,NSW,420.5,816.528571,1850
James Chen,NSW,480,816.528571,1850
Emma Thompson,NSW,1850,816.528571,1850
Liam O'Connor,NSW,390.2,816.528571,1850
Olivia Patel,NSW,510,816.528571,1850
William Zhang,VIC,550,954.285714,2100
Ava Nguyen,VIC,490,954.285714,2100
Noah Williams,VIC,2100,954.285714,2100
Isabella Brown,VIC,535,954.285714,2100
Mason Taylor,VIC,505,954.285714,2100
Sophia Anderson,QLD,720,1249.166666,2450
Lucas Martin,QLD,650,1249.166666,2450
Charlotte Garcia,QLD,2450,1249.166666,2450
Ethan Rodriguez,QLD,690,1249.166666,2450
Amelia Lee,QLD,705,1249.166666,2450
Benjamin Kim,NSW,445,816.528571,1850
Harper Singh,VIC,580,954.285714,2100
Evelyn Tran,QLD,2280,1249.166666,2450
Alexander Liu,NSW,1620,816.528571,1850
Mia Johnson,VIC,1920,954.285714,2100
