customer_id,customer_name,state,kwh_used,state_avg,state_max,state_min,customers_in_state
1003,Emma Thompson,NSW,1850,816.528571,1850,390.2,7
1019,Alexander Liu,NSW,1620,816.528571,1850,390.2,7
1005,Olivia Patel,NSW,510,816.528571,1850,390.2,7
1002,James Chen,NSW,480,816.528571,1850,390.2,7
1016,Benjamin Kim,NSW,445,816.528571,1850,390.2,7
1001,Sarah Mitchell,NSW,420.5,816.528571,1850,390.2,7
1004,Liam O'Connor,NSW,390.2,816.528571,1850,390.2,7
1013,Charlotte Garcia,QLD,2450,1249.166666,2450,650,6
1018,Evelyn Tran,QLD,2280,1249.166666,2450,650,6
1011,Sophia Anderson,QLD,720,1249.166666,2450,650,6
1015,Amelia Lee,QLD,705,1249.166666,2450,650,6
1014,Ethan Rodriguez,QLD,690,1249.166666,2450,650,6
1012,Lucas Martin,QLD,650,1249.166666,2450,650,6
1008,Noah Williams,VIC,2100,954.285714,2100,490,7
1020,Mia Johnson,VIC,1920,954.285714,2100,490,7
1017,Harper Singh,VIC,580,954.285714,2100,490,7
1006,William Zhang,VIC,550,954.285714,2100,490,7
1009,Isabella Brown,VIC,535,954.285714,2100,490,7
1010,Mason Taylor,VIC,505,954.285714,2100,490,7
1007,Ava Nguyen,VIC,490,954.285714,2100,490,7
