member_id,member_name,current_tier,total_sc,eligible_flights,last_flight_date,days_since_last
1014,Ethan Rodriguez,Platinum,1850,5,23/11/2024,438
1012,Lucas Martin,Gold,1390,4,13/11/2024,448
1011,Sophia Anderson,Gold,1375,3,19/11/2024,442
1013,Charlotte Garcia,Gold,950,5,11/11/2024,450
1007,Ava Nguyen,Silver,680,3,21/11/2024,440
1006,William Zhang,Silver,665,3,6/11/2024,455
1008,Noah Williams,Silver,355,4,27/10/2024,465
1004,Liam O'Connor,Bronze,295,3,16/11/2024,445
1001,Sarah Mitchell,Bronze,280,3,17/10/2024,475
1003,Emma Thompson,Bronze,260,4,11/11/2024,450
1009,Isabella Brown,Silver,230,2,5/04/2024,670
1002,James Chen,Bronze,150,2,1/11/2024,460
1005,Olivia Patel,Bronze,0,0,NULL,NULL
1010,Mason Taylor,Silver,0,0,NULL,NULL
1015,Amelia Lee,Platinum,0,0,NULL,NULL
1016,Benjamin Kim,Bronze,0,0,NULL,NULL
1017,Harper Singh,Silver,0,0,NULL,NULL
1018,Evelyn Tran,Gold,0,0,NULL,NULL
1019,Alexander Liu,Bronze,0,0,NULL,NULL
1020,Mia Johnson,Silver,0,0,NULL,NULL
