AccountNumber,CustomerName,Alerts,OverdraftDays,CurrentBalance
NAD-048-BUS,Wollongong Manufacturing,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$399,906.66"
NAD-041-SAV,Heather Perez,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$279,173.47"
NAD-006-CHK,Maria Garcia,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$214,825.33"
NAD-015-BUS,Brisbane Consulting,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$325,202.36"
NAD-003-BUS,TechStart Solutions Pty Ltd,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$309,320.19"
NAD-018-INV,Daniel Martin,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$519,942.25"
NAD-011-BUS,Sydney Import Export,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$286,810.84"
NAD-007-BUS,Melbourne Retail Group,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$336,682.79"
NAD-047-SAV,Justin Parker,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$256,392.44"
NAD-042-CHK,Jonathan Roberts,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$214,903.60"
NAD-022-CHK,Nicole Robinson,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$232,854.73"
NAD-008-SAV,David Wilson,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$197,666.18"
NAD-032-INV,Jason Wright,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$494,918.53"
NAD-027-SAV,Jessica Hall,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$255,091.92"
NAD-029-CHK,Ryan Young,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$207,183.26"
NAD-034-SAV,Brandon Baker,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$241,507.65"
NAD-002-CHK,Sarah Mitchell,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$187,985.49"
NAD-013-CHK,Thomas White,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$192,977.13"
NAD-043-BUS,Gold Coast Tourism,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$307,483.62"
NAD-036-CHK,Melissa Adams,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$154,835.83"
NAD-044-SAV,Rachel Turner,Medium Alert (>$5K),0,"$238,435.17"
NAD-021-SAV,Kevin Harris,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$215,205.75"
NAD-035-BUS,Darwin Logistics,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$330,750.20"
NAD-025-INV,Rebecca Lewis,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$400,035.01"
NAD-040-BUS,Newcastle Steel Works,Medium Alert (>$5K),0,"$523,773.85"
NAD-050-SAV,Tyler Edwards,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$255,547.98"
NAD-038-INV,Samantha Carter,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$418,059.79"
NAD-010-SAV,Michael O'Connor,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$244,728.24"
NAD-030-SAV,Lauren King,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$296,994.75"
NAD-014-SAV,Patricia Moore,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$218,965.65"
NAD-031-BUS,Hobart Seafood Exports,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$348,776.89"
NAD-024-SAV,Steven Clark,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$252,351.30"
NAD-039-CHK,Gregory Mitchell,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$234,396.33"
NAD-046-CHK,Kimberly Campbell,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$225,621.22"
NAD-037-SAV,Eric Nelson,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$204,651.47"
NAD-020-BUS,Perth Mining Services,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$599,555.44"
NAD-005-INV,Robert Chen,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$460,649.28"
NAD-045-INV,Adam Phillips,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$532,740.85"
NAD-019-CHK,Michelle Thompson,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$217,480.28"
NAD-026-CHK,Brian Walker,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$90,250.55"
NAD-028-BUS,Canberra Tech Hub,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$280,950.89"
NAD-049-CHK,Brittany Evans,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$179,327.86"
NAD-016-CHK,Christopher Taylor,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$203,059.69"
NAD-009-CHK,Lisa Brown,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$238,127.52"
NAD-033-CHK,Stephanie Green,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$166,866.53"
NAD-017-SAV,Amanda Jackson,"Medium Alert (>$5K), Medium Alert (>$5K), Medium Alert (>$5K)",0,"$253,384.00"
NAD-012-INV,Jennifer Lee,Medium Alert (>$5K),0,"$401,769.14"
NAD-001-SAV,James Anderson,"Medium Alert (>$5K), Medium Alert (>$5K)",0,"$243,753.39"
