account_number,customer_name,TransactionCount,TotalAmount
NAD-048-BUS,Wollongong Manufacturing,373,"$201,906.66"
NAD-041-SAV,Heather Perez,371,"$230,173.47"
NAD-006-CHK,Maria Garcia,366,"$186,825.33"
NAD-015-BUS,Brisbane Consulting,365,"$237,202.36"
NAD-003-BUS,TechStart Solutions Pty Ltd,358,"$184,320.19"
NAD-018-INV,Daniel Martin,357,"$209,942.25"
NAD-011-BUS,Sydney Import Export,356,"$191,810.84"
NAD-047-SAV,Justin Parker,355,"$200,392.44"
NAD-007-BUS,Melbourne Retail Group,355,"$156,682.79"
NAD-042-CHK,Jonathan Roberts,353,"$190,903.60"
NAD-022-CHK,Nicole Robinson,353,"$201,854.73"
NAD-008-SAV,David Wilson,350,"$142,666.18"
NAD-032-INV,Jason Wright,349,"$214,918.53"
NAD-027-SAV,Jessica Hall,348,"$188,091.92"
NAD-029-CHK,Ryan Young,343,"$192,183.26"
NAD-034-SAV,Brandon Baker,342,"$168,507.65"
NAD-002-CHK,Sarah Mitchell,339,"$142,985.49"
NAD-043-BUS,Gold Coast Tourism,339,"$152,483.62"
NAD-036-CHK,Melissa Adams,339,"$136,835.83"
NAD-013-CHK,Thomas White,339,"$154,977.13"
NAD-021-SAV,Kevin Harris,336,"$171,205.75"
NAD-044-SAV,Rachel Turner,336,"$157,435.17"
NAD-035-BUS,Darwin Logistics,335,"$218,750.20"
NAD-025-INV,Rebecca Lewis,334,"$175,035.01"
NAD-040-BUS,Newcastle Steel Works,333,"$238,773.85"
NAD-038-INV,Samantha Carter,332,"$223,059.79"
NAD-050-SAV,Tyler Edwards,332,"$186,547.98"
NAD-030-SAV,Lauren King,331,"$244,994.75"
NAD-010-SAV,Michael O'Connor,331,"$196,728.24"
NAD-014-SAV,Patricia Moore,331,"$156,965.65"
NAD-031-BUS,Hobart Seafood Exports,330,"$183,776.89"
NAD-024-SAV,Steven Clark,330,"$194,351.30"
NAD-039-CHK,Gregory Mitchell,330,"$201,396.33"
NAD-046-CHK,Kimberly Campbell,330,"$196,621.22"
NAD-037-SAV,Eric Nelson,329,"$140,651.47"
NAD-020-BUS,Perth Mining Services,327,"$179,555.44"
NAD-005-INV,Robert Chen,327,"$210,649.28"
NAD-045-INV,Adam Phillips,326,"$192,740.85"
NAD-019-CHK,Michelle Thompson,324,"$198,480.28"
NAD-004-SAV,Emma Thompson,323,"$102,511.39"
NAD-026-CHK,Brian Walker,323,"$68,250.55"
NAD-049-CHK,Brittany Evans,323,"$158,327.86"
NAD-028-BUS,Canberra Tech Hub,323,"$182,950.89"
NAD-016-CHK,Christopher Taylor,321,"$178,059.69"
NAD-033-CHK,Stephanie Green,318,"$139,866.53"
NAD-009-CHK,Lisa Brown,318,"$226,127.52"
NAD-017-SAV,Amanda Jackson,312,"$182,384.00"
NAD-012-INV,Jennifer Lee,311,"$226,769.14"
NAD-001-SAV,James Anderson,306,"$168,753.39"
NAD-023-BUS,Adelaide Wine Distributors,301,"$213,744.38"
