AccountNumber,CustomerName,AccountType,OpeningBalance,QuarterDeposits,QuarterWithdrawals,ClosingBalance,NetChange
NAD-020-BUS,Perth Mining Services,Business,"$420,000.00","$419,218.74","$197,165.61","$642,053.13","$222,053.13"
NAD-032-INV,Jason Wright,Investment,"$280,000.00","$425,073.75","$155,930.53","$549,143.22","$269,143.22"
NAD-045-INV,Adam Phillips,Investment,"$340,000.00","$347,560.37","$140,175.11","$547,385.26","$207,385.26"
NAD-018-INV,Daniel Martin,Investment,"$310,000.00","$346,576.39","$189,668.28","$466,908.11","$156,908.11"
NAD-005-INV,Robert Chen,Investment,"$250,000.00","$394,407.42","$179,888.14","$464,519.28","$214,519.28"
NAD-048-BUS,Wollongong Manufacturing,Business,"$198,000.00","$407,295.77","$171,296.91","$433,998.86","$235,998.86"
NAD-040-BUS,Newcastle Steel Works,Business,"$285,000.00","$328,706.64","$205,041.17","$408,665.47","$123,665.47"
NAD-034-SAV,Brandon Baker,Savings,"$73,000.00","$459,615.66","$143,837.95","$388,777.71","$315,777.71"
NAD-025-INV,Rebecca Lewis,Investment,"$225,000.00","$324,196.03","$190,248.43","$358,947.60","$133,947.60"
NAD-008-SAV,David Wilson,Savings,"$55,000.00","$475,123.61","$175,680.41","$354,443.20","$299,443.20"
NAD-031-BUS,Hobart Seafood Exports,Business,"$165,000.00","$361,203.47","$173,436.03","$352,767.44","$187,767.44"
NAD-011-BUS,Sydney Import Export,Business,"$95,000.00","$412,724.63","$166,686.77","$341,037.86","$246,037.86"
NAD-012-INV,Jennifer Lee,Investment,"$175,000.00","$349,783.66","$188,565.05","$336,218.61","$161,218.61"
NAD-038-INV,Samantha Carter,Investment,"$195,000.00","$376,977.69","$244,264.89","$327,712.80","$132,712.80"
NAD-023-BUS,Adelaide Wine Distributors,Business,"$135,000.00","$397,335.20","$205,440.86","$326,894.34","$191,894.34"
NAD-043-BUS,Gold Coast Tourism,Business,"$155,000.00","$363,365.12","$196,738.52","$321,626.60","$166,626.60"
NAD-013-CHK,Thomas White,Checking,"$38,000.00","$448,808.92","$168,663.09","$318,145.83","$280,145.83"
NAD-035-BUS,Darwin Logistics,Business,"$112,000.00","$392,112.72","$192,833.78","$311,278.94","$199,278.94"
NAD-003-BUS,TechStart Solutions Pty Ltd,Business,"$125,000.00","$377,572.61","$201,222.91","$301,349.70","$176,349.70"
NAD-039-CHK,Gregory Mitchell,Checking,"$33,000.00","$421,608.78","$154,907.06","$299,701.72","$266,701.72"
NAD-015-BUS,Brisbane Consulting,Business,"$88,000.00","$391,330.84","$181,218.36","$298,112.48","$210,112.48"
NAD-007-BUS,Melbourne Retail Group,Business,"$180,000.00","$354,572.78","$237,670.12","$296,902.66","$116,902.66"
NAD-044-SAV,Rachel Turner,Savings,"$81,000.00","$368,649.15","$165,302.22","$284,346.93","$203,346.93"
