account_number,customer_name,account_type,OpeningBalance,TotalDeposits,TotalWithdrawals,NetChange,ClosingBalance
NAD-020-BUS,Perth Mining Services,Business,"$420,000.00","$350,533.26","$170,977.82","$179,555.44","$599,555.44"
NAD-045-INV,Adam Phillips,Investment,"$340,000.00","$365,105.78","$172,364.93","$192,740.85","$532,740.85"
NAD-040-BUS,Newcastle Steel Works,Business,"$285,000.00","$401,360.68","$162,586.83","$238,773.85","$523,773.85"
NAD-018-INV,Daniel Martin,Investment,"$310,000.00","$400,835.44","$190,893.19","$209,942.25","$519,942.25"
NAD-032-INV,Jason Wright,Investment,"$280,000.00","$397,117.08","$182,198.55","$214,918.53","$494,918.53"
NAD-005-INV,Robert Chen,Investment,"$250,000.00","$395,283.04","$184,633.76","$210,649.28","$460,649.28"
NAD-038-INV,Samantha Carter,Investment,"$195,000.00","$381,629.88","$158,570.09","$223,059.79","$418,059.79"
NAD-012-INV,Jennifer Lee,Investment,"$175,000.00","$382,724.89","$155,955.75","$226,769.14","$401,769.14"
NAD-025-INV,Rebecca Lewis,Investment,"$225,000.00","$361,540.40","$186,505.39","$175,035.01","$400,035.01"
NAD-048-BUS,Wollongong Manufacturing,Business,"$198,000.00","$417,021.82","$215,115.16","$201,906.66","$399,906.66"
NAD-031-BUS,Hobart Seafood Exports,Business,"$165,000.00","$370,070.43","$186,293.54","$183,776.89","$348,776.89"
NAD-023-BUS,Adelaide Wine Distributors,Business,"$135,000.00","$371,464.93","$157,720.55","$213,744.38","$348,744.38"
NAD-007-BUS,Melbourne Retail Group,Business,"$180,000.00","$370,252.51","$213,569.72","$156,682.79","$336,682.79"
NAD-035-BUS,Darwin Logistics,Business,"$112,000.00","$383,474.85","$164,724.65","$218,750.20","$330,750.20"
NAD-015-BUS,Brisbane Consulting,Business,"$88,000.00","$427,045.67","$189,843.31","$237,202.36","$325,202.36"
NAD-003-BUS,TechStart Solutions Pty Ltd,Business,"$125,000.00","$395,957.77","$211,637.58","$184,320.19","$309,320.19"
NAD-043-BUS,Gold Coast Tourism,Business,"$155,000.00","$368,393.70","$215,910.08","$152,483.62","$307,483.62"
NAD-030-SAV,Lauren King,Savings,"$52,000.00","$431,093.67","$186,098.92","$244,994.75","$296,994.75"
NAD-011-BUS,Sydney Import Export,Business,"$95,000.00","$372,969.93","$181,159.09","$191,810.84","$286,810.84"
NAD-028-BUS,Canberra Tech Hub,Business,"$98,000.00","$342,608.89","$159,658.00","$182,950.89","$280,950.89"
NAD-041-SAV,Heather Perez,Savings,"$49,000.00","$425,426.13","$195,252.66","$230,173.47","$279,173.47"
NAD-047-SAV,Justin Parker,Savings,"$56,000.00","$403,957.08","$203,564.64","$200,392.44","$256,392.44"
NAD-050-SAV,Tyler Edwards,Savings,"$69,000.00","$355,489.57","$168,941.59","$186,547.98","$255,547.98"
NAD-027-SAV,Jessica Hall,Savings,"$67,000.00","$384,490.07","$196,398.15","$188,091.92","$255,091.92"
NAD-017-SAV,Amanda Jackson,Savings,"$71,000.00","$362,352.71","$179,968.71","$182,384.00","$253,384.00"
NAD-024-SAV,Steven Clark,Savings,"$58,000.00","$374,432.50","$180,081.20","$194,351.30","$252,351.30"
NAD-010-SAV,Michael O'Connor,Savings,"$48,000.00","$365,817.78","$169,089.54","$196,728.24","$244,728.24"
NAD-001-SAV,James Anderson,Savings,"$75,000.00","$343,123.21","$174,369.82","$168,753.39","$243,753.39"
NAD-034-SAV,Brandon Baker,Savings,"$73,000.00","$367,800.51","$199,292.86","$168,507.65","$241,507.65"
NAD-044-SAV,Rachel Turner,Savings,"$81,000.00","$333,997.76","$176,562.59","$157,435.17","$238,435.17"
NAD-009-CHK,Lisa Brown,Checking,"$12,000.00","$392,368.60","$166,241.08","$226,127.52","$238,127.52"
NAD-039-CHK,Gregory Mitchell,Checking,"$33,000.00","$399,744.81","$198,348.48","$201,396.33","$234,396.33"
NAD-022-CHK,Nicole Robinson,Checking,"$31,000.00","$416,476.75","$214,622.02","$201,854.73","$232,854.73"
