account_id,account_number,customer_name,shared_by,shared_date
20,NAD-020-BUS,Perth Mining Services,Training Session,50:50.8
45,NAD-045-INV,Adam Phillips,Training Session,50:50.8
18,NAD-018-INV,Daniel Martin,Training Session,50:50.8
40,NAD-040-BUS,Newcastle Steel Works,Training Session,50:50.8
32,NAD-032-INV,Jason Wright,Training Session,50:50.8
5,NAD-005-INV,Robert Chen,Training Session,50:50.8
25,NAD-025-INV,Rebecca Lewis,Training Session,50:50.8
48,NAD-048-BUS,Wollongong Manufacturing,Training Session,50:50.8
38,NAD-038-INV,Samantha Carter,Training Session,50:50.8
7,NAD-007-BUS,Melbourne Retail Group,Training Session,50:50.8
