EmployeeKey,EmployeeCode,FirstName,LastName,BirthDate,Gender,DepartmentKey,RoleKey,LocationKey,EmploymentTypeKey,ManagerKey,HireDate,TerminationDate,TerminationReason
1,EMP000000,First_000001,Last_000001,25/12/2004,F,4,9,4,1,NULL,3/12/2024,NULL,NULL
2,EMP000002,First_000002,Last_000002,18/12/2004,M,7,38,7,2,NULL,4/11/2024,NULL,NULL
3,EMP000003,First_000003,Last_000003,11/12/2004,F,10,6,2,3,NULL,6/10/2024,NULL,NULL
4,EMP000004,First_000004,Last_000004,4/12/2004,M,3,35,5,1,NULL,7/09/2024,NULL,NULL
5,EMP000005,First_000005,Last_000005,27/11/2004,F,6,3,8,2,NULL,9/08/2024,NULL,NULL
6,EMP000006,First_000006,Last_000006,20/11/2004,M,9,32,3,3,NULL,11/07/2024,NULL,NULL
7,EMP000007,First_000007,Last_000007,13/11/2004,F,2,20,6,1,NULL,12/06/2024,NULL,NULL
8,EMP000008,First_000008,Last_000008,6/11/2004,M,5,29,1,2,NULL,14/05/2024,NULL,NULL
9,EMP000009,First_000009,Last_000009,30/10/2004,F,8,17,4,3,NULL,15/04/2024,NULL,NULL
10,EMP000010,First_000010,Last_000010,23/10/2004,M,1,26,7,1,NULL,17/03/2024,NULL,Retirement
11,EMP000011,First_000011,Last_000011,16/10/2004,F,4,14,2,2,NULL,17/02/2024,NULL,NULL
12,EMP000012,First_000012,Last_000012,9/10/2004,M,7,23,5,3,NULL,19/01/2024,NULL,NULL
13,EMP000013,First_000013,Last_000013,2/10/2004,F,10,11,8,1,NULL,21/12/2023,NULL,NULL
14,EMP000014,First_000014,Last_000014,25/09/2004,M,3,40,3,2,NULL,22/11/2023,NULL,NULL
15,EMP000015,First_000015,Last_000015,18/09/2004,F,6,8,6,3,NULL,24/10/2023,NULL,NULL
16,EMP000016,First_000016,Last_000016,11/09/2004,M,9,37,1,1,NULL,25/09/2023,NULL,NULL
17,EMP000017,First_000017,Last_000017,4/09/2004,F,2,5,4,2,NULL,27/08/2023,NULL,NULL
18,EMP000018,First_000018,Last_000018,28/08/2004,M,5,34,7,3,NULL,29/07/2023,NULL,NULL
19,EMP000019,First_000019,Last_000019,21/08/2004,F,8,2,2,1,NULL,30/06/2023,NULL,NULL
20,EMP000020,First_000020,Last_000020,14/08/2004,M,1,31,5,2,NULL,1/06/2023,21/04/2024,Termination
21,EMP000021,First_000021,Last_000021,7/08/2004,F,4,19,8,3,NULL,3/05/2023,NULL,NULL
22,EMP000022,First_000022,Last_000022,31/07/2004,M,7,28,3,1,NULL,4/04/2023,NULL,NULL
23,EMP000023,First_000023,Last_000023,24/07/2004,F,10,16,6,2,NULL,6/03/2023,NULL,NULL
24,EMP000024,First_000024,Last_000024,17/07/2004,M,3,25,1,3,NULL,5/02/2023,NULL,NULL
25,EMP000025,First_000025,Last_000025,10/07/2004,F,6,13,4,1,NULL,7/01/2023,NULL,NULL
26,EMP000026,First_000026,Last_000026,3/07/2004,M,9,22,7,2,NULL,9/12/2022,NULL,NULL
27,EMP000027,First_000027,Last_000027,26/06/2004,F,2,10,2,3,NULL,10/11/2022,NULL,NULL
28,EMP000028,First_000028,Last_000028,19/06/2004,M,5,39,5,1,NULL,12/10/2022,NULL,NULL
29,EMP000029,First_000029,Last_000029,12/06/2004,F,8,7,8,2,NULL,13/09/2022,NULL,NULL
30,EMP000030,First_000030,Last_000030,5/06/2004,M,1,36,3,3,NULL,15/08/2022,15/06/2024,Resignation
31,EMP000031,First_000031,Last_000031,29/05/2004,F,4,4,6,1,NULL,17/07/2022,NULL,NULL
32,EMP000032,First_000032,Last_000032,22/05/2004,M,7,33,1,2,NULL,18/06/2022,NULL,NULL
33,EMP000033,First_000033,Last_000033,15/05/2004,F,10,1,4,3,NULL,20/05/2022,NULL,NULL
34,EMP000034,First_000034,Last_000034,8/05/2004,M,3,30,7,1,NULL,21/04/2022,NULL,NULL
35,EMP000035,First_000035,Last_000035,1/05/2004,F,6,18,2,2,NULL,23/03/2022,NULL,NULL
36,EMP000036,First_000036,Last_000036,24/04/2004,M,9,27,5,3,NULL,22/02/2022,NULL,NULL
37,EMP000037,First_000037,Last_000037,17/04/2004,F,2,15,8,1,NULL,24/01/2022,NULL,NULL
38,EMP000038,First_000038,Last_000038,10/04/2004,M,5,24,3,2,NULL,26/12/2021,NULL,NULL
39,EMP000039,First_000039,Last_000039,3/04/2004,F,8,12,6,3,NULL,27/11/2021,NULL,NULL
40,EMP000040,First_000040,Last_000040,27/03/2004,M,1,21,1,1,NULL,29/10/2021,9/08/2024,Retirement
41,EMP000041,First_000041,Last_000041,20/03/2004,F,4,9,4,2,NULL,30/09/2021,NULL,NULL
42,EMP000042,First_000042,Last_000042,13/03/2004,M,7,38,7,3,NULL,1/09/2021,NULL,NULL
43,EMP000043,First_000043,Last_000043,6/03/2004,F,10,6,2,1,NULL,3/08/2021,NULL,NULL
44,EMP000044,First_000044,Last_000044,28/02/2004,M,3,35,5,2,NULL,5/07/2021,NULL,NULL
45,EMP000045,First_000045,Last_000045,21/02/2004,F,6,3,8,3,NULL,6/06/2021,NULL,NULL
46,EMP000046,First_000046,Last_000046,14/02/2004,M,9,32,3,1,NULL,8/05/2021,NULL,NULL
47,EMP000047,First_000047,Last_000047,7/02/2004,F,2,20,6,2,NULL,9/04/2021,NULL,NULL
48,EMP000048,First_000048,Last_000048,31/01/2004,M,5,29,1,3,NULL,11/03/2021,NULL,NULL
49,EMP000049,First_000049,Last_000049,24/01/2004,F,8,17,4,1,NULL,10/02/2021,NULL,NULL
50,EMP000050,First_000050,Last_000050,17/01/2004,M,1,26,7,2,NULL,12/01/2021,3/10/2024,Termination
51,EMP000051,First_000051,Last_000051,10/01/2004,F,4,14,2,3,NULL,14/12/2020,NULL,NULL
52,EMP000052,First_000052,Last_000052,3/01/2004,M,7,23,5,1,NULL,15/11/2020,NULL,NULL
