CustomerID,CustomerName,Email,Location,SignupDate
CUST100,Barbara Flynn,jlutz@yahoo.com,Sharonhaven,2023-01-10
CUST101,Susan Diaz,bmueller@roberts.com,Port Ericmouth,2023-09-14
CUST102,Terry Green,blakethompson@price-young.com,East Shawn,2024-09-20
CUST103,Kimberly Garza,julie20@yahoo.com,North Williamtown,2022-12-02
CUST104,David Turner,rangelshannon@hotmail.com,South Staceymouth,2023-05-07
CUST105,Nicole Ramirez,james53@adams.info,Joshuamouth,2022-06-04
CUST106,Patrick Kelley,qwilliams@aguilar.com,Lake Amandaview,2024-07-15
CUST107,Robin Barnes,ureese@white-montgomery.com,Rogerfurt,2022-09-03
CUST108,Robin Beck,lori26@hotmail.com,Royland,2024-01-27
CUST109,Yolanda Smith,gramirez@yahoo.com,Villarrealchester,2022-10-24
CUST110,Reginald Ewing,aaron47@yahoo.com,Lake Josetown,2024-04-14
CUST111,Daniel Fernandez,jrobinson@potter.net,Nealberg,2022-11-26
CUST112,Isabella Mccall,davischristopher@perkins.info,East Michelle,2025-02-08
CUST113,Shawn Goodman,barnesholly@brown.com,North Taylor,2024-12-23
CUST114,Kristina Singleton,ksmith@yahoo.com,Port Cristianborough,2024-06-15
CUST115,Heather Day,melissa63@alexander.org,West Sara,2024-10-25
CUST116,Melinda Gibbs,ashleybrianna@ramirez.org,Saraport,2024-11-01
CUST117,Amanda Parker,michael56@hotmail.com,North Derek,2024-10-17
CUST118,Hannah Weber,tamara22@mahoney.com,Brandonhaven,2022-12-03
CUST119,Katie Wilkerson,jongallagher@jordan.com,Port Bradleybury,2022-08-23
CUST120,Shannon Greene,fcarpenter@hotmail.com,Port Thomas,2023-08-30
CUST121,Tanya Nelson,higginsanthony@carter.com,East Robert,2023-09-17
CUST122,Michael Kaiser,melissameyer@gmail.com,Kimtown,2025-03-05
CUST123,Erin Leonard,sallycervantes@mccoy-ingram.com,Johnsonstad,2024-06-14
CUST124,Michael Taylor,mollycochran@yahoo.com,Lake Gary,2024-07-19
CUST125,Lori Watson,kristina51@yahoo.com,New Kellyberg,2024-02-11
CUST126,Dr. Krista Lewis DDS,ywright@gmail.com,West Brittanybury,2024-07-20
CUST127,Marissa Morgan,vtanner@williams.biz,New Michaelfort,2025-04-21
CUST128,Meagan Padilla,jamesduncan@gmail.com,Port Justinport,2022-10-15
CUST129,Alexander Torres,dorozco@hudson.com,North Wayneview,2022-08-28
CUST130,Jesus Gordon,sglover@bell.org,Ericaborough,2023-09-18
CUST131,Timothy Wheeler,cherman@riley.com,North Carlaton,2023-03-29
CUST132,James Dodson,hollysandoval@garner.info,Christophertown,2023-12-07
CUST133,David Smith,loganhensley@mckinney.com,East Sabrina,2023-09-23
