Channel;City;Region;Customer name;Order Date;Order ID;Department;Product Category (gender);Product Sub category;Product SKU;Product name; Distance from the warehouse ; Price ; Cost of sales ; Discount ; Order Quantity ; Sales 
Small chain store;St. Stephens Ward;Kent;Alan D Rosenburg Cpa Pc;30/12/2017;28774;Clothing;Men;Hoodies & Sweatshirts;MH01;Chaz Kangeroo Hoodie;40;34;576,6;0,1;32;1088
Supermarket;Abbey Ward;Buckinghamshire;Cap Gemini America;30/12/2017;13729;Clothing;Men;Hoodies & Sweatshirts;MH01-L-Black;Chaz Kangeroo Hoodie-L-Black;160;37;109,9;0,1;9;333
Local store;East Southbourne and Tuckton W;Bournemouth;Elliott, John W Esq;31/12/2017;37537;Clothing;Men;Hoodies & Sweatshirts;MH01-L-Gray;Chaz Kangeroo Hoodie-L-Gray;20;41;41;  -  ;4;164
Local store;Hawerby cum Beesby;Lincolnshire;Mcmahan, Ben L;31/12/2017;37537;Clothing;Men;Hoodies & Sweatshirts;MH01-L-Orange;Chaz Kangeroo Hoodie-L-Orange;40;30;470,4;0,1;32;960
Franchise;Greets Green and Lyng Ward;West Midlands;Champagne Room;31/12/2017;44069;Clothing;Men;Hoodies & Sweatshirts;MH01-M-Black;Chaz Kangeroo Hoodie-M-Black;65;25;104;0,1;16;400
Franchise;Desborough;Northamptonshire;Thompson, Michael C Esq;31/12/2017;44069;Clothing;Men;Hoodies & Sweatshirts;MH01-M-Gray;Chaz Kangeroo Hoodie-M-Gray;50;39;419,3;0,1;43;1677
Franchise;Bargate Ward;Southampton;Wrangle Hill Auto Auct & Slvg;31/12/2017;9285;Clothing;Men;Hoodies & Sweatshirts;MH01-M-Orange;Chaz Kangeroo Hoodie-M-Orange;35;22;25,7;0,1;3;66
Franchise;Chirton Ward;Tyne & Wear;In Communications Inc;31/12/2017;37537;Clothing;Men;Hoodies & Sweatshirts;MH01-S-Black;Chaz Kangeroo Hoodie-S-Black;130;31;733,2;0,1;43;1333
Local store;Staple Hill Ward;South Gloucestershire;Bizerba Usa Inc;01/01/2018;7909;Clothing;Men;Hoodies & Sweatshirts;MH01-S-Gray;Chaz Kangeroo Hoodie-S-Gray;60;38;639,2;0;29;1102
Franchise;Abbey Ward;Buckinghamshire;Max Video;01/01/2018;40354;Clothing;Men;Hoodies & Sweatshirts;MH01-S-Orange;Chaz Kangeroo Hoodie-S-Orange;160;33;248,8;0;29;957
Franchise;Abbey Ward;Buckinghamshire;K & R Associates Inc;01/01/2018;9637;Clothing;Men;Hoodies & Sweatshirts;MH01-XL-Black;Chaz Kangeroo Hoodie-XL-Black;160;36;289,4;0,1;12;432
Franchise;Abbey Ward;Buckinghamshire;Cain, John M Esq;01/01/2018;30016;Clothing;Men;Hoodies & Sweatshirts;MH01-XL-Gray;Chaz Kangeroo Hoodie-XL-Gray;160;37;142,1;0;8;296
Franchise;Abbey Ward;Buckinghamshire;Sound Vision Corp;01/01/2018;11972;Clothing;Men;Hoodies & Sweatshirts;MH01-XL-Orange;Chaz Kangeroo Hoodie-XL-Orange;160;37;57,7;  -  ;4;148
Franchise;Parwich;Derbyshire;Rowley/hansell Petetin;01/01/2018;40354;Clothing;Men;Hoodies & Sweatshirts;MH01-XS-Black;Chaz Kangeroo Hoodie-XS-Black;175;43;46,4;0,1;4;172
Franchise;Wilmington;Kent;Industrial Engineering Assocs;01/01/2018;9637;Clothing;Men;Hoodies & Sweatshirts;MH01-XS-Gray;Chaz Kangeroo Hoodie-XS-Gray;45;27;84,2;0;12;324
Small chain store;Loundsley Green Ward;Derbyshire;Weiss Spirt & Guyer;01/01/2018;30016;Clothing;Men;Hoodies & Sweatshirts;MH01-XS-Orange;Chaz Kangeroo Hoodie-XS-Orange;55;26;167,7;0;15;390
Supermarket;East Southbourne and Tuckton W;Bournemouth;Crowan, Kenneth W Esq;01/01/2018;9762;Clothing;Men;Hoodies & Sweatshirts;MH02;Teton Pullover Hoodie;20;20;72;0,1;12;240
Supermarket;Dee Ward;Dumfries and Galloway;Rittenhouse Motor Co;01/01/2018;9637;Clothing;Men;Hoodies & Sweatshirts;MH02-L-Black;Teton Pullover Hoodie-L-Black;35;36;776,2;0,1;49;1764
Local store;Broxburn, Uphall and Winchburg;West Lothian;Modern Plastics Corp;02/01/2018;8710;Clothing;Men;Hoodies & Sweatshirts;MH02-L-Purple;Teton Pullover Hoodie-L-Purple;155;39;868,1;0,1;42;1638
Supermarket;Abbey Ward;Buckinghamshire;Galloway Electric Co Inc;02/01/2018;8710;Clothing;Men;Hoodies & Sweatshirts;MH02-L-Red;Teton Pullover Hoodie-L-Red;160;43;453,2;0;17;731
Supermarket;Weston-Super-Mare;North Somerset;Niagara Custombuilt Mfg Co;02/01/2018;49730;Clothing;Men;Hoodies & Sweatshirts;MH02-M-Black;Teton Pullover Hoodie-M-Black;45;36;28,1;0,1;3;108
Local store;Carbrooke;Norfolk;Practical Periphrals;03/01/2018;59232;Clothing;Men;Hoodies & Sweatshirts;MH02-M-Purple;Teton Pullover Hoodie-M-Purple;205;44;516,1;  -  ;23;1012
Local store;Carbrooke;Norfolk;Curtin, Patricia M Esq;03/01/2018;1028;Clothing;Men;Hoodies & Sweatshirts;MH02-M-Red;Teton Pullover Hoodie-M-Red;205;38;209;0;11;418
Local store;Broxburn, Uphall and Winchburg;West Lothian;Wilhelm, James E Jr;03/01/2018;57253;Clothing;Men;Hoodies & Sweatshirts;MH02-S-Black;Teton Pullover Hoodie-S-Black;155;36;432;0;25;900
Local store;New Milton;Hampshire;Smart Signs;03/01/2018;57253;Clothing;Men;Hoodies & Sweatshirts;MH02-S-Purple;Teton Pullover Hoodie-S-Purple;35;25;326,3;0,1;29;725
Local store;Parkham;Devon;Arctic Star Distributing Inc;03/01/2018;52386;Clothing;Men;Hoodies & Sweatshirts;MH02-S-Red;Teton Pullover Hoodie-S-Red;90;27;108,5;0,1;6;162
Franchise;Darnall Ward;Yorkshire, South;Lensbower, Gregory L Esq;03/01/2018;57253;Clothing;Men;Hoodies & Sweatshirts;MH02-XL-Black;Teton Pullover Hoodie-XL-Black;85;39;737,9;0,1;43;1677
Small chain store;Abbey Ward;Buckinghamshire;Portal Metal Products;03/01/2018;28451;Clothing;Men;Hoodies & Sweatshirts;MH02-XL-Purple;Teton Pullover Hoodie-XL-Purple;160;40;378;0;21;840
Small chain store;Loundsley Green Ward;Derbyshire;Lynema, Cliff Cpa;03/01/2018;32418;Clothing;Men;Hoodies & Sweatshirts;MH02-XL-Red;Teton Pullover Hoodie-XL-Red;55;44;114,4;0,1;5;220
Small chain store;Loundsley Green Ward;Derbyshire;J C S Machinery;03/01/2018;25601;Clothing;Men;Hoodies & Sweatshirts;MH02-XS-Black;Teton Pullover Hoodie-XS-Black;55;26;693,2;0,1;43;1118
Small chain store;Marldon;Devon;Berick, Joseph G Esq;03/01/2018;57253;Clothing;Men;Hoodies & Sweatshirts;MH02-XS-Purple;Teton Pullover Hoodie-XS-Purple;45;38;893,8;0,1;48;1824
Small chain store;Darnall Ward;Yorkshire, South;Jackson & Heit Machine Co Inc;03/01/2018;1028;Clothing;Men;Hoodies & Sweatshirts;MH02-XS-Red;Teton Pullover Hoodie-XS-Red;85;23;60,7;0;6;138
Supermarket;Prestatyn Community;Denbighshire;Bridgeway Plan For Health;03/01/2018;290;Clothing;Men;Hoodies & Sweatshirts;MH03;Bruno Compete Hoodie;55;36;509,8;0,1;24;864
Supermarket;Abbey Ward;Buckinghamshire;Wa Inst For Plcy Studies;03/01/2018;57253;Clothing;Men;Hoodies & Sweatshirts;MH03-L-Black;Bruno Compete Hoodie-L-Black;160;42;1.173,10;0,1;49;2058
Supermarket;Loundsley Green Ward;Derbyshire;Wmgl 101.7 Fm;03/01/2018;28451;Clothing;Men;Hoodies & Sweatshirts;MH03-L-Blue;Bruno Compete Hoodie-L-Blue;55;37;910,2;0;41;1517
Supermarket;Lye and Stourbridge North Ward;West Midlands;Hughlett, Henry T Jr;03/01/2018;28451;Clothing;Men;Hoodies & Sweatshirts;MH03-L-Green;Bruno Compete Hoodie-L-Green;25;35;485,1;  -  ;33;1155
Local store;Carbrooke;Norfolk;Penrose Place Pharmacy Inc;04/01/2018;14274;Clothing;Men;Hoodies & Sweatshirts;MH03-M-Black;Bruno Compete Hoodie-M-Black;205;28;31,4;0;2;56
Local store;Carbrooke;Norfolk;Novak, Alan Paul Esq;04/01/2018;14274;Clothing;Men;Hoodies & Sweatshirts;MH03-M-Blue;Bruno Compete Hoodie-M-Blue;205;45;569,3;0;23;1035
Local store;New Milton;Hampshire;Smart Signs;04/01/2018;23488;Clothing;Men;Hoodies & Sweatshirts;MH03-M-Green;Bruno Compete Hoodie-M-Green;35;24;216;0;30;720
