Category,City,Country.Region,Customer.Name,Discount..bin.,Manufacturer,Order.Date,Order.ID,Postal.Code,Product.Name,Promo,Region,Segment,Ship.Date,Ship.Mode,State,Discount,Profit,Quantity,Sales
Furniture,Henderson,United States,Claire Gute,0.0,Bush,08/11/2019,CA-2019-152156,42420,Bush Somerset Collection Bookcase,Bookcases,South,Consumer,11/11/2019,Second Class,Kentucky,0,41.9136,2,261.96
Furniture,Henderson,United States,Claire Gute,0.0,Hon,08/11/2019,CA-2019-152156,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs,South,Consumer,11/11/2019,Second Class,Kentucky,0,219.582,3,731.94
Office Supplies,Los Angeles,United States,Darrin Van Huff,0.0,Universal,12/06/2019,CA-2019-138688,90036,Self-Adhesive Address Labels for Typewriters by Universal,Labels,West,Corporate,16/06/2019,Second Class,California,0,6.8714,2,14.62
Furniture,Fort Lauderdale,United States,Sean O'Donnell,0.8,Bretford,11/10/2018,US-2018-108966,33311,Bretford CR4500 Series Slim Rectangular Table,After promo,South,Consumer,18/10/2018,Standard Class,Florida,0.42135170684011036,-383.031,5,957.5775
Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,0.3,Eldon,11/10/2018,US-2018-108966,33311,Eldon Fold 'N Roll Cart System,Storage,South,Consumer,18/10/2018,Standard Class,Florida,0.2596345416482845,2.5164,2,22.368
Furniture,Los Angeles,United States,Brosina Hoffman,0.0,Eldon,09/06/2017,CA-2017-115812,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furnishings,West,Consumer,14/06/2017,Standard Class,California,0,14.1694,7,48.86
Office Supplies,Los Angeles,United States,Brosina Hoffman,0.0,Newell,09/06/2017,CA-2017-115812,90032,Newell 322,Art,West,Consumer,14/06/2017,Standard Class,California,0.04829663080162769,1.9656,4,7.28
Technology,Los Angeles,United States,Brosina Hoffman,0.3,Mitel,09/06/2017,CA-2017-115812,90032,Mitel 5320 IP Phone VoIP phone,Phones,West,Consumer,14/06/2017,Standard Class,California,0.16102306536563177,90.7152,6,907.152
Office Supplies,Los Angeles,United States,Brosina Hoffman,0.3,DXL,09/06/2017,CA-2017-115812,90032,DXL Angle-View Binders with Locking Rings by Samsill,Binders,West,Consumer,14/06/2017,Standard Class,California,0.2944388834327263,5.7825,3,18.504
Office Supplies,Los Angeles,United States,Brosina Hoffman,0.0,Belkin,09/06/2017,CA-2017-115812,90032,Belkin F5C206VTEL 6 Outlet Surge,Appliances,West,Consumer,14/06/2017,Standard Class,California,0.018742182808851874,34.47,5,114.9
Furniture,Los Angeles,United States,Brosina Hoffman,0.3,Chromcraft,09/06/2017,CA-2017-115812,90032,Chromcraft Rectangular Conference Tables,After promo,West,Consumer,14/06/2017,Standard Class,California,0.13430377942313237,85.3092,9,1706.184
Technology,Los Angeles,United States,Brosina Hoffman,0.3,Other,09/06/2017,CA-2017-115812,90032,Konftel 250 Conference phone - Charcoal black,Phones,West,Consumer,14/06/2017,Standard Class,California,0.2800004107896245,68.3568,4,911.424
Office Supplies,Concord,United States,Andrew Allen,0.3,Xerox,15/04/2020,CA-2020-114412,28027,Xerox 1967,Paper,South,Consumer,20/04/2020,Standard Class,North Carolina,0.19632397626775344,5.4432,3,15.552
Office Supplies,Seattle,United States,Irene Maddox,0.3,Fellowes,05/12/2019,CA-2019-161389,98103,Fellowes PB200 Plastic Comb Binding Machine,Binders,West,Consumer,10/12/2019,Standard Class,Washington,0.10474049647618247,132.5922,3,407.976
Office Supplies,Fort Worth,United States,Harold Pawlan,1.5,Holmes,22/11/2018,US-2018-118983,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances,Central,Home Office,26/11/2018,Standard Class,Texas,0.828910304320461,-123.858,5,68.81
Office Supplies,Fort Worth,United States,Harold Pawlan,1.5,Storex,22/11/2018,US-2018-118983,76106,Storex DuraTech Recycled Plastic Frosted Binders,Binders,Central,Home Office,26/11/2018,Standard Class,Texas,0.7724742565636836,-3.816,3,2.544
Office Supplies,Madison,United States,Pete Kriz,0.0,Other,11/11/2017,CA-2017-105893,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Storage,Central,Consumer,18/11/2017,Standard Class,Wisconsin,0.09920370853504937,13.3176,6,665.88
Office Supplies,West Jordan,United States,Alejandro Grove,0.0,Fellowes,13/05/2017,CA-2017-167164,84084,Fellowes Super Stor/Drawer,Storage,West,Consumer,15/05/2017,Second Class,Utah,0.018393117049706934,9.99,2,55.5
Office Supplies,San Francisco,United States,Zuschuss Donatelli,0.0,Newell,27/08/2017,CA-2017-143336,94109,Newell 341,Art,West,Consumer,01/09/2017,Second Class,California,0,2.4824,2,8.56
Technology,San Francisco,United States,Zuschuss Donatelli,0.3,Cisco,27/08/2017,CA-2017-143336,94109,Cisco SPA 501G IP Phone,Phones,West,Consumer,01/09/2017,Second Class,California,0.23764887617396688,16.011,3,213.48
Office Supplies,San Francisco,United States,Zuschuss Donatelli,0.3,Wilson Jones,27/08/2017,CA-2017-143336,94109,"Wilson Jones Hanging View Binder, White, 1""",Binders,West,Consumer,01/09/2017,Second Class,California,0.1473676851096531,7.384,4,22.72
Office Supplies,Fremont,United States,Ken Black,0.0,Newell,09/12/2019,CA-2019-137330,68025,Newell 318,Art,Central,Corporate,13/12/2019,Standard Class,Nebraska,0,5.0596,7,19.46
Office Supplies,Fremont,United States,Ken Black,0.0,Acco,09/12/2019,CA-2019-137330,68025,"Acco Six-Outlet Power Strip, 4' Cord Length",Appliances,Central,Corporate,13/12/2019,Standard Class,Nebraska,0.059594542905681724,15.6884,7,60.34
Furniture,Philadelphia,United States,Sandra Flanagan,0.5,Global,16/07/2020,US-2020-156909,19140,"Global Deluxe Stacking Chair, Gray",Chairs,East,Consumer,18/07/2020,Second Class,Pennsylvania,0.344589294076855,-1.0196,2,71.372
