customer_id,first_name,last_name,birth_date,phone,address,city,state,total_money_spent
100101,Kevin,Malone,28/04/1989,635-573-9754,1229 Main Street,Scranton,PA,11000
100102,Charles,Xavier,11/04/1965,729-287-9456,123 North Hill Drive,Dallas,TX,947
100103,Finley,Danish,7/02/1999,126-583-7856,432 Hilly Road,Austin,TX,534
100104,Obi,Kenobi,22/04/1921,975-357-7663,101 Alpine Avenue,New York,NY,3567
100105,Don,Draper,7/11/1948,NULL,12 South Main Lane,San Francisco,CA,195
100106,Frodo,Baggins,4/09/2001,NULL,1 Pastery Lane,Chicago,IL,56
100107,Michael,Scott,20/08/1978,235-357-3464,987 Croissant Street,Scranton,PA,2536
100108,Maggie,Muffin,6/07/2001,906-485-1542,701 North Street,Sarasota,FL,1009
100109,Kelly,Kapoor,30/05/1987,674-357-9151,62810 Julip Lane,Scranton,PA,540
100110,Anakin,Skywalker,15/10/1934,346-458-3370,122 South Street,Charleston,SC,36
